,Laptop Name,Price,Rating
0,ASUS Vivobook 15 Core i3 11th Gen,35990,4.2
1,ASUS VivoBook 14 (2021) Celeron Dual Core,21990,4.1
2,ASUS Vivobook 15 Core i5 11th Gen,45990,4.3
3,HP Victus Intel Core i5 11th Gen,58990,4.1
4,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,33490,0
5,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,53990,4.4
6,RedmiBook Pro Core i5 11th Gen,37990,4.1
7,HP Victus Intel Core i5 12th Gen,64990,4.3
8,ASUS TUF Dash F15 (2022) Core i5 12th Gen,73990,4.4
9,Infinix INBook X2 Plus Core i5 11th Gen,41990,4.3
10,HP 14s Intel Core i3 11th Gen,40990,4.3
11,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
12,HP 15s Intel Core i3 12th Gen,44490,4.2
13,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen,51990,4.3
14,ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,50990,4.5
15,HP Victus Ryzen 7 Octa Core 5800H,81990,4
16,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,25490,0
17,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,25490,0
18,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,22990,0
19,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
20,ASUS TUF Gaming F15 Core i5 10th Gen,54990,4.5
21,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,54990,4.5
22,ASUS Chromebook Celeron Dual Core,16990,3.7
23,HP Victus Intel Core i7 12th Gen,82990,4.5
24,HP Victus Intel Core i5 11th Gen,58990,4.1
25,HP Victus Intel Core i5 12th Gen,64990,4.3
26,ASUS Vivobook 15 Core i3 11th Gen,35990,4.2
27,ASUS VivoBook 14 (2021) Celeron Dual Core,21990,4.1
28,ASUS Vivobook 15 Core i5 11th Gen,45990,4.3
29,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,33490,0
30,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,53990,4.4
31,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
32,RedmiBook Pro Core i5 11th Gen,37990,4.1
33,ASUS TUF Dash F15 (2022) Core i5 12th Gen,73990,4.4
34,Infinix INBook X2 Plus Core i5 11th Gen,41990,4.3
35,HP Victus Intel Core i7 12th Gen,82990,4.5
36,HP 14s Intel Core i3 11th Gen,40990,4.3
37,HP 15s Intel Core i3 12th Gen,44490,4.2
38,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen,51990,4.3
39,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
40,ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,50990,4.5
41,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,25490,0
42,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,25490,0
43,Lenovo Ryzen 5 Hexa Core,63900,0
44,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,22990,0
45,ASUS TUF Gaming F15 Core i5 10th Gen,54990,4.5
46,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,54990,4.5
47,acer Swift Go 14 Ryzen 5 Hexa Core 7530U,62990,0
48,ASUS TUF Gaming F15 Core i5 10th Gen,58990,4.4
49,HP Pavilion Intel Core i5 12th Gen,66999,4.4
50,Lenovo Legion 5 Ryzen 7 Octa Core 5800H,103990,4.8
51,HP Victus Intel Core i5 11th Gen,58990,4.1
52,HP Laptop Ryzen 3 Quad Core 5300U,37490,4.2
53,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,53990,4.4
54,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7,67990,4.4
55,HP Victus Intel Core i5 12th Gen,64990,4.3
56,HP Ryzen 3 Dual Core 3250U,31990,3.8
57,Infinix INBook X2 Plus Core i7 11th Gen,48990,4
