Laptop Name,Price,Rating
HP Victus Intel Core i5 11th Gen,58990,4.1
HP Victus Ryzen 7 Octa Core 5800H,81990,4
ASUS Vivobook 15 Core i3 11th Gen,35990,4.2
ASUS VivoBook 14 (2021) Celeron Dual Core,21990,4.1
ASUS Vivobook 15 Core i5 11th Gen,45990,4.3
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,33490,4.3
RedmiBook Pro Core i5 11th Gen,37990,4.1
HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
Infinix INBook X2 Plus Core i5 11th Gen,41990,4.3
HP 14s Intel Core i3 11th Gen,40990,4.3
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen,51990,4.3
acer Swift Go 14 Ryzen 5 Hexa Core 7530U,62990,0
HP 15s Intel Core i3 12th Gen,44490,4.2
Lenovo Intel Celeron Dual Core,29900,4.1
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,50990,4.5
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,54990,3.6
acer Extensa Core i3 11th Gen,34990,4.1
ASUS TUF Gaming F15 Core i5 10th Gen,54990,4.5
ASUS Chromebook Celeron Dual Core,16990,3.7
HP Victus Ryzen 7 Octa Core 5800H,109990,0
ASUS TUF Gaming F15 Core i5 10th Gen,58990,4.4
ASUS Vivobook 15 Core i7 11th Gen,56990,4.2
HP Intel Core i5 11th Gen,53990,4.4
Lenovo Ryzen 5 Hexa Core,63998,0
